Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
13-Sep-08,State Farm Insurance,Surprise,Arizona,INSD,BSO,137,"An employee of State Farm fraudulently 
            used customer information to open credit-card accounts. Customers' 
            Social Security numbers, driver's license numbers, addresses and possibly 
            financial account numbers could have been accessed.",Dataloss DB,,2008,33.630594,-112.333216
22-Aug-08,Liberty McDonald's Restaurant,Liberty,Kentucky,INSD,BSR,0,"An employee at a Liberty McDonald's 
            restaurant, took credit or debit cards from drive-through customers 
            and used a device she had hidden near the window to swipe the cards 
            to record their numbers. The information on the device then was downloaded 
            and used to make new cards either in the names of the persons to which 
            the original cards belonged or in the names of the perpetrators.",Media,,2008,37.318406,-84.939398
19-Aug-08,Kingston Tax Service,Kingston,Washington,PORT,BSO,0,"Office computers were stolen from 
            the business. On each of the computers is information which can be 
            used by identity thieves including credit card information and Social 
            Security numbers.",Dataloss DB,,2008,47.798707,-122.498192
13-Aug-08,Charter Communications,Greenville,South Carolina,PORT,BSO,"9,000","Computers were stolen from the company's 
          Greenville offices and contained records of more than 9,000 Charter 
          employees nationwide. The information included Social Security numbers, 
          dates of birth and driver's license numbers.",Dataloss DB,,2008,34.852618,-82.39401
12-Aug-08,Wells Fargo,Minneapolis,Minnesota,HACK,BSF,"5,000","Wells Fargo is notifying customers 
            that hackers have accessed their confidential personal data by illegally 
            using its access codes. Personal information including names, addresses, 
            dates of birth, Social Security numbers, driver's licence numbers 
            and in some cases, credit account information was accessed by unauthorised 
            persons.",Dataloss DB,,2008,44.979965,-93.263836
5-Aug-08,"The Clear Program Fast-pass Registered Travel program for airline passengers, operated by Verified Identity Pass for the U.S. Transportation Security Admin.",New York,New York,PORT,BSO,"33,000","A laptop containing personal information 
          for about 33,000 people was reported stolen in a possible security breach 
          for the Clear Program. The laptop was stolen at San Francisco International 
          Airport. The stolen information included names, addresses, dates of 
          birth, and driver's license numbers or passport numbers.",Media,,2008,40.714269,-74.005973
29-Jul-08,Anheuser-Busch,St. Louis,Missouri,PORT,BSR,0,"A laptop containing personal information 
            of current and former employees, including some from Hampton Roads, 
            was stolen from a St. Louis-area Anheuser-Busch office. Information 
            contained on the computer included employees' Social Security numbers, 
            home addresses and marital status.",Dataloss DB,,2008,38.646991,-90.224967
17-Jul-08,Bristol-Myers Squibb,Jacksonville,Florida,PORT,BSO,"42,000","A backup computer-data tape containing 
            employees' personal information, including Social Security numbers, 
            was stolen recently. The backup data tape was stolen while being transported 
            from a storage facility. The information on the tapes included names, 
            addresses, dates of birth, Social Security numbers and marital status, 
            and in some cases bank-account information. Data for some employees' 
            family members also were on the tape.",Dataloss DB,,2008,30.332184,-81.655651
15-Jul-08,Weber Law Firm,Houston,Texas,PHYS,BSO,0,"Sheriff's deputies uncovered hundreds 
          of people's personal financial files that had been discarded in a dumpster 
          in northwest Houston. Box after box of records including personal financial 
          records, documents with Social Security numbers, people's medical files 
          and more were found in the dumpster.",Dataloss DB,,2008,29.763284,-95.363272
19-Jun-08,Petroleum Wholesale,Houston,Texas,PHYS,BSO,0,"The company dumped hundreds of 
            records in a publicly accessible trash container outside its former 
            headquarters. The records included receipts with customers' names 
            and full credit or debit card numbers, including expiration dates. 
            The records also included returned checks and forms containing customers' 
            names and bank routing, driver's license and Social Security numbers.",Dataloss DB,,2008,29.763284,-95.363272
18-Jun-08,Domino's Pizza,Tucson,Arizona,PHYS,BSR,0,"Investigators found credit card 
            numbers blowing in the wind. These piles and papers contained hundreds 
            of old receipts from Domino's Pizza stores. The former owner had been 
            discarding boxes of old records and somehow all those receipts got 
            loose.",Media,,2008,32.221743,-110.926479
10-Jun-08,1st Source Bank,South Bend,Indiana,HACK,BSF,0,"1st Source Bank is replacing ATM 
          cards this month for all its account holders after cyber-thieves accessed 
          an unknown amount of debit-related data.",Dataloss DB,,2008,41.683381,-86.250007
10-Jun-08,Wheeler's Moving Company,Boca Raton,Florida,PHYS,BSO,0,"Personal files with tax information, 
            Social Security numbers and license numbers, were found in a Boca 
            Raton dumpster.",Media,,2008,26.358689,-80.083098
29-May-08,"State Street Corp, Investors Financial Services",Boston,Massachusetts,STAT,BSF,"45,500","Computer equipment containing 
            personal information on customers and employees of a State Street 
            unit was stolen. The computer equipment was stolen from a vendor hired 
            by Investors Financial Services to provide legal support services. 
            The personal information included names, addresses and Social Security 
            numbers.",Dataloss DB,,2008,42.358431,-71.059773
15-May-08, BB&T Insurance,Harrisonburg,Virginia,PORT,BSF,0,"A BB&T Insurance laptop containing 
            the personnel information of some Harrisonburg City Schools employees 
            was stolen. The laptop, used by an outside sales representative to 
            develop an insurance proposal for the school system, was stolen from 
            a car. The information contained names, dates of birth, Social Security 
            numbers, and, in some cases, medical history.",Dataloss DB,,2008,38.449569,-78.868916
6-May-08,International Visa Service,Atlanta,Georgia,INSD,BSO,"1,000","An employee has been arrested 
            and charged with stealing the personal information of people who were 
            applying for a passport and sold the identities on the black market.",Dataloss DB,,2008,33.748995,-84.387982
6-May-08,Northeast Security,West Haven,Massachusetts,PHYS,BSO,0,"News Channel 8 found Social Security 
            numbers, bank account numbers and even canceled checks inside a dumpster. 
            The files appear to belong to Northeast Security, a subcontractor 
            for Safe Home Security, based out of Rocky Hill. Northeast Security 
            recently moved out of a West Haven storefront, and it seems they left 
            their clients personal information behind.",Dataloss DB,,2008,42.340828,-71.076581
1-May-08,"Cove Creek Mortgage, Front Range Mortgage",Englewood,Colorado,PHYS,BSF,0,"Sensitive mortgage files with 
            people's personal information were recently found in a Dumpster. The 
            files and computers contained sensitive information on many former 
            customers of Front Range Mortgage, including names and addresses, 
            Social Security numbers and bank, credit card and investment account 
            information.",Media,,2008,39.647765,-104.98776
28-Apr-08,"Hough, MacAdam & Wartnik",North Bend,Oregon,PORT,BSO,500,"A notebook computer was stolen 
            from a locked vehicle. The notebook's hard drive may have contained 
            names, Social Security numbers, and other personal information.",Dataloss DB,,2008,43.406501,-124.22428
24-Apr-08,Harmony Information Systems,Madison,Wisconsin,DISC,BSO,0,"A computer program housing personal 
            information about Wisconsin seniors and disabled people had a significant 
            security hole. A senior center volunteer in McFarland said he could 
            see hundreds of files of people's private information from across 
            the country in the system run by Virginia-based Harmony Information 
            Systems. The information is entered into an electronic record that 
            includes the person's name and Social Security number.",Media,,2008,43.073052,-89.40123
24-Apr-08,Collections Lawyers Pellegrino  & Feldstein,Denville,New Jersey,DISC,BSO,530,"Consumer information somehow escaped 
            the New Jersey law offices and ended up posted on several websites. 
            The Liberty Coalition discovered cached versions of an Excel file 
            that contained the full names, Social Security numbers, dates of birth, 
            addresses, account numbers, and financial information.",Dataloss DB,,2008,40.892321,-74.477378
19-Apr-08,Central Collection Bureau,Indianapolis,Indiana,STAT,BSO,"700,000","A computer server containing Social 
            Security numbers and other personal information was stolen last month 
            from a Southside debt-collection bureau. The information includes 
            customer-billing records for Indiana businesses, including Citizens 
            Gas & Coke Utility, St. Vincent Health and Methodist Medical Group.",Dataloss DB,,2008,39.767016,-86.156255
8-Apr-08,  WellPoint,Indianapolis,Indiana,DISC,BSO,"128,000","Personal information that may 
            have included Social Security numbers and pharmacy or medical data 
            for customers in several states was exposed online over the past year.",Dataloss DB,,2008,39.767016,-86.156255
7-Apr-08,Pfizer Inc,New York,New York,PORT,BSO,800,"A laptop was stolen by a burglar 
            from the home of a contractor who helps arrange planning travel and 
            meetings for Pfizer. Information on the laptop included names, credit 
            card numbers and, in some instances, credit card expiration dates, 
            various addresses and phone numbers, hotel loyalty program numbers 
            and other information. It did not appear that any Social Security 
            numbers or PIN codes were exposed.",Dataloss DB,,2008,40.714269,-74.005973
4-Apr-08,"Harley-Davidson, Inc. (HOG)",Milwaukee,Wisconsin,PORT,BSO,"60,000","A laptop computer containing certain 
            HOG members' personal information was determined to be missing from 
            their facilities. The personal information stored on the computer 
            included names, addresses, credit card numbers, their expiration dates, 
            and driver's license numbers.",Media,,2008,43.038903,-87.906474
1-Apr-08,Okemo Mountain Resort,Ludlow,Vermont,HACK,BSO,"28,168","The Ludlow ski area announced 
            that its computer network was breached by an intruder who gained access 
            to credit card data including cardholder names, account numbers and 
            expiration dates.",Dataloss DB,,2008,43.395906,-72.700652
31-Mar-08,Advance Auto Parts,Roanoke,Virginia,HACK,BSR,"56,000","The retailer reported that a network 
            intrusion had exposed financial information and was the subject 
            of a criminal investigation. Fourteen of the retailer's stores, including 
            locations in Georgia, Ohio, Louisiana, Tennessee, Mississippi, Indiana, 
            Virginia and New York, are believed to have been affected.",Dataloss DB,,2008,37.27097,-79.941427
21-Mar-08, Compass Bank,Birmingham,Alabama,INSD,BSF,"1,000,000","A database containing names, account 
            numbers and customer passwords was stolen. A credit-card encoder and 
            software to encode the information onto blank cards was also used 
            to acquire information from ATMs. A former programmer at Birmingham, 
            Ala.-based Compass Bank stole a hard drive containing 1 million customer 
            records and used some of that information to commit debit-card fraud. 
            The thief had used the information stolen from Compass Bank's database 
            to create about 250 counterfeit debit cards. He was able to use about 
            45 of those cards to access and withdraw cash from customer accounts 
            at the bank before he was arrested.",Dataloss DB,,2008,33.520661,-86.80249
20-Mar-08,Rampage Marketing Services,Columbus,Ohio,PHYS,BSO,0,"The company, a licensed insurance 
            agency, threw 14 boxes of files containing sensitive financial and 
            medical information into a trash bin. An insurance agent for another 
            company noticed the boxes in the shared bin and sent them back to 
            the Insurance Department",Media,,2008,39.961176,-82.998794
19-Mar-08,Affordable Realty,Flint,Michigan,PHYS,BSO,0,"Social Security numbers and financial 
            records of customers. Affordable Realty occupied office space inside 
            the Ben Agree building on Dort Highway for years. The company was 
            evicted and all of its sensitive customer information ended up outside 
            in a dumpster or on the ground nearby.",Dataloss DB,,2008,43.012527,-83.687456
8-Mar-08,MTV Networks,Los Angeles,California,HACK,BSO,"5,000","Computer files with confidential 
            data on employees at MTV Networks were breached by someone outside 
            the company. Personal information in the files included names, birth 
            dates, Social Security numbers and compensation data.",Dataloss DB,,2008,34.052234,-118.243685
3-Mar-08,Kaft Foods,Northfield,Illinois,PORT,BSO,"20,000","A company-owned laptop computer 
            was stolen from an employee of Kraft Foods traveling on company business. 
            The laptop contained the names and may have contained Social Security 
            numbers.",Dataloss DB,,2008,42.09975,-87.780897
18-Feb-08,First Magnus Financial,Ft. Lauderdale,Florida,PHYS,BSF,0,"Outside a University of Phoenix 
            Building in Ft. Lauderdale, files and paperwork belonging to the defunct 
            First Magnus Financial were just lying in stacked boxes inside an 
            industrial garbage container. The paperwork contained Social Security 
            numbers, credit card information, addresses, and properties.",Dataloss DB,,2008,26.122308,-80.143379
15-Feb-08,Lexmark International,Lexington,Kentucky,DISC,BSO,0,"The employee personal data was 
            inadvertently exposed, it included Social Security numbers, dates 
            of birth, along with names and addresses. The data was accessed by 
            two unknown parties when the data was loaded to a company file sharing 
            site.",Dataloss DB,,2008,37.988689,-84.477715
10-Feb-08,"Administrative Systems, Inc",Seattle,Washington,STAT,BSO,0,"A desktop computer stolen from 
            an Administrative Systems, Inc. (ASI) office in Seattle contained 
            names and sensitive information about customers or employees of several 
            of the firm's clients: Continental American Medical, EyeMed Vision/Kelly 
            Services Vision, and Jefferson Pilot Financial Dental. Personal details 
            may have included name, date of birth, mailing address, and Social 
            Security number, depending on the service being provided.",Dataloss DB,,2008,47.60621,-122.332071
8-Feb-08,MLSgear.com,Louisville,Kentucky,HACK,BSR,0,"Injection attacks on web servers 
            hosted by a third-party service provider has compromised the personal 
            data of an unspecified number of individuals who had shopped on Major 
            League Soccer's MLSgear.com Web site. The compromised information 
            included names, addresses, credit card data, debit card data, and 
            MLSgear.com passwords.",Dataloss DB,,2008,38.254238,-85.759407
24-Jan-08,OmniAmerican Bank,Fort Worth,Texas,HACK,BSF,0,"An international gang of cyber 
            criminals hacked into the bank's records. They stole account numbers, 
            created new PINs, fabricated debit cards, then withdrew cash from 
            ATMs in Eastern Europe, Russia, Ukraine, Britain, Canada and New York. 
            Fewer than 100 accounts, some of them dormant, were compromised.",Dataloss DB,,2008,32.725409,-97.32085
17-Jan-08,"GE Money ,  Iron Mountain",Boston,Massachusetts,PORT,BSF,"150,000","Personal information on customers 
            of J.C. Penney and up to 100 other retailers could be compromised 
            after a computer tape went missing. The missing information includes 
            Social Security numbers for about 150,000 people.",Dataloss DB,,2008,42.358431,-71.059773
7-Jan-08,"Sears, ManageMyHome.com",Cook County,Illinois,DISC,BSR,0,"Sears' ManageMyHome.com site exposed 
            customer purchase data to any online visitor who asked about it.",Media,,2008,41.737659,-87.697554
7-Jan-08,Geeks.com,Oceanside,California,HACK,BSR,0,"Personal and financial data may 
            have been compromised by an intrusion into the systems of the online 
            retailer's Web site. Compromised information included the names, addresses, 
            telephone numbers and Visa credit card numbers.",Dataloss DB,,2008,33.19587,-117.379483
3-Jan-08,Robotics Industries Association,Ann Arbor,Michigan,HACK,BSO,0,"A hacker accessed the administration 
            site for Robotics Online gaining access to individual orders that 
            contained credit card information. Seven residents of NH were affected, 
            but national totals were not indicated.",Media,,2008,42.270872,-83.726329
2-Jan-08,Workers Compensation Fund,Salt Lake City,Utah,PORT,BSO,"2,800","Officials with one of Utah's largest 
            insurance companies are searching for a stolen laptop containing Social 
            Security numbers and other personal information for about 2,800 people 
            and 1,400 companies. The computer was taken from a car parked in the 
            home garage of an auditor for the Workers Compensation Fund.",Dataloss DB,,2008,40.760779,-111.891047
5-Dec-07,Forrester Research,Cambridge,Massachusetts,PORT,BSO,0,"Thieves stole a laptop from the 
            home of a Forrester Research employee, potentially exposing the names, 
            addresses and Social Security numbers of an undisclosed number of 
            current and former employees and directors.",Dataloss DB,,2007,42.375097,-71.105608
1-Dec-07,Battelle & Battelle LLC ,Oakwood,Ohio,PORT,BSO,600,"A laptop was stolen from a Battelle & Battelle LLC employee's vehicle.  The laptop contained information on an audit of the Community Blood Center's 401K plan as well as information on the employees of Springfield-based Ohio Masonic Home.  The stolen laptop needs multiple levels of authentication in order to access the sensitive data, according to a representative of Battelle.  Masonic Home officials report 600 of its employees were affected.",Dataloss DB,,2007,39.983128,-81.559845
4-Dec-07,Indianapolis Power and Light,Indianapolis,Indiana,DISC,BSO,"3,000","The private information of thousands 
            of customers was inadvertently posted online for up to four years. 
            Data included names, addresses and Social Security numbers.",Dataloss DB,,2007,39.767016,-86.156255
16-Nov-07,A.J. Falciani Realty Company,Vineland,New Jersey,STAT,BSO,0,"Computers containing the personal 
            information of between 500 to 1,000 clients of A.J. Falciani Realty 
            Company were taken in a burglary. Many of the stolen computers stored 
            the names, addresses, Social Security numbers, dates of birth, telephone 
            numbers and other information on the company's clients.",Dataloss DB,,2007,39.486227,-75.025731
6-Nov-07,Butte Community Bank,Chico,California,PORT,BSF,0,"A laptop with customers' personal 
            information including names, addresses, Social Security numbers and 
            bank account numbers was stolen from Butte Community Bank.",Dataloss DB,,2007,39.728494,-121.837478
30-Oct-07,Hartford Financial Services Group,Hartford,Connecticut,PORT,BSF,"230,000","Three backup tapes that contained 
            personal information of 230,000 customers, including 9,200 Ohioans, 
            mainly of the company's property lines, were misplaced.",Dataloss DB,,2007,41.763711,-72.685093
29-Oct-07,"ABC Phones, ACC Communications",Greenville,North Carolina,PHYS,BSO,0,"Two men found a box in a dumpster. 
            The cell phone business recently moved and threw away documents that 
            contained personal information from customers. The information contained 
            driver's license numbers, Social Security number, bank accophonesunt numbers, 
            credit card numbers, work and home addresses.",Media,,2007,35.612661,-77.366354
28-Oct-07,Art.com,Lockbourne,Ohio,HACK,BSR,0,"Cyberspace criminals gained systems 
            entry despite multiple security layers and accessed some 
            credit card transactions. The retailer of posters, prints and framed 
            art alerted customers that hackers had gotten into the website to 
            access credit card accounts.",Dataloss DB,,2007,39.80923,-82.972404
24-Oct-07,Not Your Average Joe's,Dartmouth,Massachusetts,HACK,BSO,0,"Massachusetts restaurants were 
            targeted by an individual or individuals seeking to illegally obtain 
            credit card data. The data that was compromised included credit card 
            numbers, expiration date and name associated with the card.",Dataloss DB,,2007,41.592337,-70.978456
23-Oct-07,Blockbuster,Sarasota,Florida,PHYS,BSR,0,"A Sarasota resident was fishing 
            in a trash container for boxes when he found 400 documents. These 
            documents included membership forms and employment applications with 
            names, addresses, credit card numbers and Social Security numbers.",Dataloss DB,,2007,27.336435,-82.530653
16-Oct-07,Administaff Inc.,Houston,Texas,PORT,BSO,"159,000","Current and former workers personal 
            data may be compromised because of a stolen laptop. The data wasn't 
            encrypted when it was stored on the portable computer, which is password-protected. 
            Data stored on the laptop included names, addresses and Social Security 
            numbers for most employees paid by Administaff in 2006.",Dataloss DB,,2007,29.763284,-95.363272
17-Oct-07,Home Depot,Boston,Massachusetts,PORT,BSR,"10,000","A laptop computer containing about 
            10,000 employees' personal data was stolen from a regional manager's 
            car. The computer, which was password protected, didn't contain any 
            customer information. The laptop contained names, home addresses and 
            Social Security numbers of certain Home Depot employees.",Dataloss DB,,2007,42.358431,-71.059773
